Trait,Name,Rarity,Strength (0-100),Weakness
background,Purple Portal,1188,2,
background,Rainbow,65,15,
background,Battlefield,22,15,
background,Yellow Concrete,1226,5,
background,Purple Grunge,1197,5,
background,Gray,1226,2,
background,Space,14,10,
background,Mall,27,10,
background,City Street,32,15,
background,Orange Wood,1154,2,
background,Camo,1193,3,
background,Red Bricks,1189,1,
background,Sky,33,8,
background,80s,55,10,
background,Laboratory,23,10,
background,Graveyard,29,15,
background,Blue Metal,1219,1,
background,Blockchain,62,10,
background,Desert,46,8,
hat,Man Bun,148,10,
hat,Crown,24,60,
hat,Beer Helmet,186,45,
hat,Slick,167,30,
hat,Apocalypse,80,80,
hat,Suave,209,70,
hat,Flat Top,98,65,
hat,Wizard,194,90,
hat,Blonde Wavy,186,45,
hat,Blonde,422,25,
hat,Jar Brain,148,85,
hat,Spiky,170,70,
hat,Nerf Herder,212,55,
hat,Bucket,212,25,
hat,Straight,161,20,
hat,Santa,170,75,
hat,Baller,418,45,
hat,Karate,203,70,
hat,Butch,165,65,
hat,Hair Bun,213,40,
hat,Punk,164,30,
hat,Scientist,98,75,
hat,Blue,88,50,
hat,Police,225,50,
hat,Greasy,174,35,
hat,None,204,50,
hat,Helmet,424,80,
hat,Space Helmet Open,22,95,
hat,Dreadlocks,443,35,
hat,Beanie,384,20,
hat,Warrior Crown,76,45,
hat,Space Helmet,20,95,
hat,Adventurer,187,75,
hat,Braid,239,45,
hat,Viking,155,55,
hat,Sheriff,198,80,
hat,Winged Helmet,119,75,
hat,Fire Head,54,99,
hat,Afro,347,45,
hat,Pirate,201,49,
hat,Orange,125,39,
hat,Pot,212,25,
hat,General,149,55,
hat,Ponytail,181,40,
hat,Rasta,162,35,
hat,Messy,156,30,
hat,Barcode,106,55,
hat,Mullet,81,80,
hat,Long,166,50,
hat,Demon,50,85,
hat,Fishing Hat,197,10,
hat,Headphones,152,15,
hat,Horns,93,70,
hat,Snap Back,84,65,
hat,Chef,128,25,
hat,Backwards,350,40,
eyes,Sunglasses,623,25,
eyes,None,222,75,
eyes,Shocked,331,45,
eyes,Metal,183,55,
eyes,Energy,51,80,
eyes,Smolder,194,65,
eyes,Ski Goggles,261,35,
eyes,Monocle,309,45,
eyes,Visor,315,55,
eyes,3d Glasses,172,65,
eyes,No Pupils,630,25,
eyes,Glasses,597,15,
eyes,Pirate Eye Patch,546,40,
eyes,No Fate Goggles,149,70,
eyes,Smug,648,50,
eyes,Cyclops,165,85,
eyes,Hypnotized,613,75,
eyes,Angry,580,70,
eyes,Zombie,650,80,
eyes,Stoned,296,25,
eyes,Laser,33,95,
eyes,Glow Green,43,85,
eyes,Night Vision Goggles,176,75,
eyes,Scar,339,45,
eyes,Squinty,283,35,
eyes,Evil,327,40,
eyes,Crazy,552,55,
eyes,Goth,156,10,
eyes,Steampunk,337,60,
eyes,Spider,143,75,
eyes,Glow,76,80,
skin,Hunk,145,35,
skin,Brown,769,45,
skin,Tattoo White,608,50,
skin,Hot Head,341,95,
skin,Skeleton,204,75,
skin,Muscle White,311,45,
skin,Silver,154,30,
skin,Zombie,361,80,
skin,X Dude,32,95,
skin,Robot,268,80,
skin,Silver Man,109,45,
skin,Zombie Infection,389,55,
skin,Tattoo Tan,680,45,
skin,White,769,40,
skin,Cyborg,87,85,
skin,Tan,752,35,
skin,Wounded White,637,20,
skin,Gold,52,85,
skin,Camo,346,80,
skin,Wounded Brown,620,45,
skin,Wounded Tan,599,45,
skin,Muscle Tan,324,65,
skin,Gummy,254,45,
skin,X Chick,37,95,
skin,She Hunk,195,99,
skin,Tattoo Brown,656,50,
skin,Muscle Brown,301,50,
mouth,Gold,66,70,
mouth,Goofy Smile,539,25,
mouth,Frown,518,20,
mouth,Scream,497,55,
mouth,Fancy Mustache,161,65,
mouth,Fancy Goatee,140,45,
mouth,Biker,265,75,
mouth,Smile,538,80,
mouth,Pipe,148,40,
mouth,Pipe With Goatee,71,60,
mouth,None,222,50,
mouth,Vampire Fangs,159,85,
mouth,Filed Down Teeth,317,80,
mouth,Blowing Bubble,152,70,
mouth,Tongue,173,65,
mouth,Lollipop,128,60,
mouth,Hockey Teeth,288,35,
mouth,Kissy Face,292,10,
mouth,Cop Mustache,142,45,
mouth,Smug,504,35,
mouth,Open,562,30,
mouth,Angry,589,75,
mouth,Pouty,328,50,
mouth,Bandana,356,80,
mouth,Goatee,237,45,
mouth,Gas Mask,202,50,
mouth,Wizard Beard,142,65,
mouth,Billy Bob Teeth,546,40,
mouth,Grin,233,30,
mouth,Diamond,35,95,
mouth,Goth,137,10,
mouth,Red Beard,86,55,
mouth,Rainbow,107,85,
mouth,Pencil Thin,263,40,
mouth,Cigar,155,45,
mouth,Vampire,293,90,
mouth,Short Beard,234,30,
mouth,Sugar Skull,175,45,
chain,None,7056,35,
chain,Zombie Ears,291,55,
chain,Controller,184,65,
chain,Silver Chain,282,35,
chain,Bandolier,308,65,
chain,My Precious,85,75,
chain,Cardano Medallian,56,80,
chain,Usb Wallet,105,65,
chain,Force Triangle,189,45,
chain,Gold Chain,303,35,
chain,Spiked,96,40,
chain,Ada Medallian,41,85,
chain,Skull,218,70,
chain,Warding Demons,195,90,
chain,Mocking Bird,181,55,
chain,Dog Tags,309,35,
chain,Skeleton Key,101,40,
left-weapon,Crypt Raider,109,35,
