name,readable_name,ipfs_hash,collection,background,weapon,skin,clothing,necklace,mouth,nose,hat,eye,earring,site,twitter,copyright
ZombieChains00001,Zombie Chains #00001,ipfs://QmUebNmpURjKVGRJKp9tGuZ1PwpnfBx2haLqAyRxA4Mfnv,Zombie Chains,Pink,Sword,Pink,Business Coat,None,Mischevious,Nostrils,Pumpkin,Zombie,None,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00002,Zombie Chains #00002,ipfs://QmZsBtexvSDA5P94VPpGRUfb4CM9PZHvq9TwtLaL1SSGiv,Zombie Chains,Pink,Sword,Leopard,Roman,None,Stitches,Solid,Disheveled,Laser,Eyeball,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00003,Zombie Chains #00003,ipfs://QmdQFKGnZoBs1JRBWQzWnn89UYDBo2Wap6UKGcpeqyYTjk,Zombie Chains,Pink,None,Gray,UFO,None,Mischevious,Solid,None,Mischievious,None,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00004,Zombie Chains #00004,ipfs://QmeZVJy2evuUnFPuFMnhkXmNE915GyN8r9rVKEEPmppuWK,Zombie Chains,Blue,Batons,Blue,Coat Hoodie,None,Cigar,Solid,Plunger,Disguise,Hoop,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00005,Zombie Chains #00005,ipfs://QmVtLu8dwDQkFkLA8X2d53CyzajtWT3tB9iRwMhn6TP1oE,Zombie Chains,Orange,None,Pink,Cheerleader,None,Smile,Solid,Cowboy,Aviator,None,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00006,Zombie Chains #00006,ipfs://QmPPrQS7Ws9pfSzCFRt9PQkKNubXipXdieBZt86F6ieTM9,Zombie Chains,Pink,None,Blue,None,None,Smug,No Nose,Plunger,Zombie,Earbud,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00007,Zombie Chains #00007,ipfs://QmPD8WXa6asWyadAivkMPV3pTGpTB7ARZFw8R39R1eoZLe,Zombie Chains,Pink,Arrows,Reptile,Coat Top Button,None,Ninja,Solid,Plunger,Hypnotized,Earbud,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00008,Zombie Chains #00008,ipfs://QmVH9Wh2iLrzAM8H4fkpuKAaezEBrRTMoufba6FDhgigQQ,Zombie Chains,Yellow,Batons,Green,None,None,Grin Beard,Solid,Plunger,Visor,None,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00009,Zombie Chains #00009,ipfs://QmSUKdu4Mthf18qcsdWGPeAFBK8XY5547pL97KbWKnnKQm,Zombie Chains,Blue,Sword,Purple,Suit,Gold,Beard,Solid,Afro,Cyclops,None,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00010,Zombie Chains #00010,ipfs://QmYPLDFwry6GRWCeFrBp2wwFRYMcKCS8D6SPwSJ3UQJjHu,Zombie Chains,Blue,None,Green,Beater,None,Thoughtful,No Nose,Blonde,Eyebrow Raise,None,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00011,Zombie Chains #00011,ipfs://QmR4g3gSn4NV7HbXmM6hiMgRHJ2hFEqfBKi3ZB3xKz4WzB,Zombie Chains,Green,None,Green,None,None,Cigar Goatee,No Nose,Cowlick,Dark,None,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00012,Zombie Chains #00012,ipfs://QmRuZLa2Xjq72B84Ej7AUhHQp8sVhRjCz7vrMkDDsrVYDy,Zombie Chains,Blue,None,Blue,Suit,None,Grin Beard,No Nose,None,Normal,None,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00013,Zombie Chains #00013,ipfs://QmYGMsoyg2BfhfbnngUeoz9Ahpc5r1WuH7dQyw4CudK7iU,Zombie Chains,Pink,Batons,Blue,None,Gold,Hockey,No Nose,Baseball,Cat,None,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00014,Zombie Chains #00014,ipfs://Qmayts1q2xh4N7VSxu3MZmd3sY13WqAEd35YGknBPQKwnD,Zombie Chains,Orange,Batons,Tattoo,None,None,Grin Beard,No Nose,None,Normal,None,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00015,Zombie Chains #00015,ipfs://QmNdsPzCKnEadygvj6bN5e2ZGp69d3GNbiQXH8MZ83WMJZ,Zombie Chains,Pink,None,Cyborg,Beater,None,Smile,No Nose,Gel,Laser Beam,None,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00016,Zombie Chains #00016,ipfs://QmbLosLiNa9NfvMxmENXdopeByofyXALNSVWznjw1cfAne,Zombie Chains,Pink,None,Gray,Scientist,None,Thoughtful,Solid,Plunger,Monocle,Eyeball,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00017,Zombie Chains #00017,ipfs://QmY5ZuLp9dMY9Q4SrwbHrm5WqJaPrioo7V9qaHVvfbmiGu,Zombie Chains,Blue,None,Giraffe,None,None,Smug,Solid,Bandana,Dark,None,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00018,Zombie Chains #00018,ipfs://QmVjX7ojLbMTH9ntk7J7dVKG5HyxMJpKPrMLytbuNswZi4,Zombie Chains,Orange,Arrows,Leopard,Beater,None,Mischevious,Solid,Man Bun,Bulging,Hoop,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00019,Zombie Chains #00019,ipfs://QmbZYUSeW3BGbKyeC3Z9V5z8bt2CnWH7Dt7Nt2wPB94kYV,Zombie Chains,Purple,None,Decay,None,None,Smile,Solid,None,Normal,Hoop,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
